product_name,brand_name,price,seller,seller_rating,seller_shipping,seller_chat,rating_number,qna_number,discount,bef_price
2.09/1.44 Inch Display Screen T900/U8 Ultra Smartwath Men Women Series 8 Smart Watch Bluetooth Calling Step Counter Heart Rate Tracking Sleep Monitor Fitness Bracelet,FlasOcean,"৳ 1,259",FlasOcean,69%,Not enough data,Not enough data,73 Ratings,,-34%,"৳ 1,899"
"Tinzzi IWO 13 Pro T800 Pro Max, T800 Ultra2, T900 Ultra2 Smart Watch 1.99 Inch Bluetooth Call DIY Dail Sports Waterproof Sleep Monitoring for Men Women PK IWO I7 T700 W46 W56 Series 6",Tinzzi,৳ 594,Tinzzi,75%,Not enough data,Not enough data,65 Ratings,,-62%,"৳ 1,571"
T800 Ultra lSmartwatch 1.99'' Inch Full Touch HD Screen IP67 Waterproof Bluetooth Call Sleep Monitoring Smartwatch for Men And Women,BD GADGETS CORNER,৳ 721,BD GADGETS CORNER,77%,72%,Not enough data,7 Ratings,15 Answered Questions,-38%,"৳ 1,156"
T500 Smart Watch 1.4 Inch Bluetooth Call Sports Smartwatch Waterproof Heart Rate Sleep Monitoring for Men Women,SHAPLA UNIVERSAL,৳ 599,SHAPLA UNIVERSAL,81%,78%,75%,4 Ratings,6 Answered Questions,-60%,"৳ 1,500"
"COLMI P28 Plus 1.69"" Touch Screen Smart Watch",Trendy Tech,"৳ 2,250",Trendy Tech,78%,45%,Not enough data,189 Ratings,80 Answered Questions,-10%,"৳ 2,500"
T900 ULTRA 2- 2.19 inch full touch Screen Smartwatch,Time Square,৳ 650,Time Square,84%,48%,52%,1 Ratings,8 Answered Questions,-61%,"৳ 1,650"
Silicon New Fashion Touch LED Sports Watch Waterproof,wholesale Shop,৳ 350,wholesale Shop,79%,71%,70%,158 Ratings,224 Answered Questions,-60%,৳ 880
T500 Smart Watch Compatible with Android & iOS Bluetooth Watch - Stay Connected and Track Your Fitness with This Smart and Stylish Timepiece,Shopee Mart BD,৳ 544,Shopee Mart BD,80%,62%,31%,14 Ratings,17 Answered Questions,-53%,"৳ 1,149"
Y80 Ultra Smart Watch 8+1 Strap Touch Screen,Buy now store 07,"৳ 1,255",Buy now store 07,41%,55%,95%,No Ratings,,-49%,"৳ 2,450"
Y80 Ultra Smart Wireless Charging Watch 8 Straps,Parves Stores,"৳ 1,349",Parves Stores,85%,45%,Not enough data,28 Ratings,4 Answered Questions,-54%,"৳ 2,950"
HW Ultra 2 Call Smartwatch 5G Android Syetem Dual Camera Wifi 4GB Ram + 64GB Storage Memory,GADGET JET,"৳ 5,180",GADGET JET,100%,100%,100%,3 Ratings,9 Answered Questions,-40%,"৳ 8,600"
"S8 Ultra Smartwatch 1.68"" Full Touch Control Bluetooth Call Heart Rate Monitoring Sports Monitoring Smart Watch Women Men",Misuli,৳ 571,Misuli,73%,Not enough data,Not enough data,2 Ratings,,-57%,"৳ 1,319"
D116 Plus Smart watch Bracelets Fitness Tracker,Gadget Shop,৳ 389,Gadget Shop,77%,77%,Not enough data,12 Ratings,,-51%,৳ 799
"COLMI P81 Voice Calling Smart Watch Ultra 1.9 inch Screen 24H Health Monitor 100+ Sports Modes, Bluetooth Smartwatch Men Women",Bundle and Save,"৳ 2,538",Bundle and Save,New Seller,100%,Not enough data,582 Ratings,,-50%,"৳ 5,076"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
